Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity
9:12:00,Wednesday,18-30,Above 10yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
9:12:00,Wednesday,18-30,Above 10yr,Public (13?45 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
14:40:00,Friday,31-50,5-10yr,Lorry (11?40Q),Dry,Daylight,Normal,Changing lane to the right,Serious Injury
10:36:00,Friday,31-50,1-2yr,Stationwagen,Dry,Daylight,Normal,Driving at high speed,Slight Injury
10:36:00,Friday,31-50,Below 1yr,Ridden horse,Dry,Daylight,Normal,No distancing,Slight Injury
18:19:00,Monday,18-30,Below 1yr,Stationwagen,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
18:19:00,Monday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
19:12:00,Tuesday,18-30,1-2yr,Automobile,Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
19:12:00,Tuesday,31-50,5-10yr,Other,Dry,Daylight,Normal,Other,Slight Injury
11:38:00,Saturday,Over 51,2-5yr,Taxi,Dry,Daylight,Normal,Other,Slight Injury
11:38:00,Saturday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
11:38:00,Saturday,31-50,Above 10yr,Stationwagen,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
11:38:00,Saturday,18-30,5-10yr,Automobile,Dry,Daylight,Normal,Overtaking,Slight Injury
13:30:00,Thursday,18-30,5-10yr,Public (12 seats),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
13:30:00,Thursday,31-50,5-10yr,,Dry,Daylight,Normal,No distancing,Slight Injury
12:39:00,Tuesday,18-30,Above 10yr,Automobile,Wet or damp,Daylight,Raining,Changing lane to the right,Slight Injury
12:39:00,Tuesday,Over 51,1-2yr,Lorry (41?100Q),Wet or damp,Daylight,Raining,Driving carelessly,Slight Injury
12:30:00,Friday,18-30,2-5yr,,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
12:30:00,Friday,31-50,1-2yr,Public (> 45 seats),Dry,Daylight,Normal,Overtaking,Slight Injury
16:55:00,Sunday,31-50,,,Dry,Daylight,Normal,Other,Slight Injury
16:55:00,Sunday,31-50,5-10yr,Public (12 seats),Dry,Daylight,Normal,Driving to the left,Slight Injury
18:25:00,Monday,Unknown,5-10yr,Public (12 seats),Dry,Daylight,Normal,Driving at high speed,Slight Injury
18:25:00,Monday,31-50,Above 10yr,Automobile,Dry,Daylight,Normal,Unknown,Slight Injury
13:01:00,Thursday,31-50,2-5yr,,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
13:01:00,Thursday,18-30,Above 10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
13:45:00,Wednesday,18-30,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Other,Slight Injury
13:45:00,Wednesday,31-50,5-10yr,Public (12 seats),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
18:45:00,Monday,18-30,5-10yr,Lorry (11?40Q),Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
18:45:00,Monday,31-50,5-10yr,Automobile,Dry,Darkness - lights lit,Normal,No priority to pedestrian,Slight Injury
11:02:00,Thursday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Overtaking,Slight Injury
11:02:00,Thursday,31-50,Above 10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
11:02:00,Thursday,31-50,Below 1yr,Bajaj,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
11:02:00,Thursday,31-50,5-10yr,Public (12 seats),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
15:55:00,Tuesday,Over 51,1-2yr,Lorry (11?40Q),Dry,Daylight,Normal,Changing lane to the right,Serious Injury
15:00:00,Wednesday,Over 51,,,Dry,Daylight,Normal,Driving carelessly,Slight Injury
20:00:00,Sunday,31-50,Above 10yr,,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
20:00:00,Sunday,Under 18,2-5yr,Automobile,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
18:48:00,Wednesday,31-50,1-2yr,Lorry (11?40Q),Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,Serious Injury
18:48:00,Wednesday,31-50,1-2yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Normal,Overturning,Serious Injury
15:55:00,Sunday,Over 51,2-5yr,Pick up upto 10Q,Dry,Daylight,Normal,Driving carelessly,Slight Injury
15:55:00,Sunday,Over 51,,Lorry (11?40Q),Dry,Daylight,Normal,No distancing,Slight Injury
23:25:00,Wednesday,Over 51,2-5yr,Stationwagen,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
23:25:00,Wednesday,Over 51,1-2yr,Other,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
23:25:00,Wednesday,31-50,5-10yr,Other,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
7:40:00,Monday,18-30,Below 1yr,Lorry (11?40Q),Dry,Daylight,Normal,Changing lane to the right,Serious Injury
7:40:00,Monday,18-30,2-5yr,,Dry,Daylight,Normal,No distancing,Serious Injury
15:17:00,Sunday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Moving Backward,Fatal injury
15:17:00,Sunday,31-50,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Moving Backward,Fatal injury
15:50:00,Monday,18-30,2-5yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
15:50:00,Monday,18-30,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
9:45:00,Sunday,Over 51,1-2yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
9:45:00,Sunday,Over 51,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
17:35:00,Thursday,18-30,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving carelessly,Slight Injury
17:35:00,Thursday,18-30,2-5yr,Public (13?45 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
17:35:00,Thursday,31-50,2-5yr,Long lorry,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
20:50:00,Sunday,18-30,2-5yr,Automobile,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
20:50:00,Sunday,Over 51,Above 10yr,Automobile,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
21:32:00,Thursday,18-30,Above 10yr,Other,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
21:32:00,Thursday,31-50,5-10yr,,Dry,Darkness - lights lit,Normal,Other,Slight Injury
19:55:00,Monday,18-30,,Long lorry,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
19:55:00,Monday,18-30,2-5yr,Public (12 seats),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
16:10:00,Monday,18-30,5-10yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
16:10:00,Monday,Over 51,5-10yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
15:25:00,Monday,31-50,Above 10yr,Other,Dry,Daylight,Normal,Overturning,Slight Injury
23:36:00,Thursday,Under 18,5-10yr,Other,Dry,Darkness - no lighting,Normal,Driving at high speed,Serious Injury
23:36:00,Thursday,Under 18,Above 10yr,Public (12 seats),Dry,Darkness - no lighting,Normal,No priority to vehicle,Serious Injury
23:36:00,Thursday,Under 18,Below 1yr,Lorry (41?100Q),Dry,Darkness - no lighting,Normal,No priority to pedestrian,Serious Injury
23:36:00,Thursday,Under 18,5-10yr,Other,Dry,Darkness - no lighting,Normal,No priority to vehicle,Serious Injury
20:00:00,Monday,Over 51,1-2yr,Public (12 seats),Dry,Darkness - lights unlit,Normal,Other,Slight Injury
20:00:00,Monday,31-50,5-10yr,Other,Dry,Darkness - lights unlit,Normal,Other,Slight Injury
20:00:00,Monday,31-50,5-10yr,Lorry (11?40Q),Dry,Darkness - lights unlit,Normal,Moving Backward,Slight Injury
17:54:00,Friday,18-30,2-5yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
17:54:00,Friday,31-50,5-10yr,Other,Dry,Daylight,Normal,Moving Backward,Slight Injury
18:04:00,Monday,31-50,5-10yr,Other,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
17:00:00,Friday,18-30,Above 10yr,Pick up upto 10Q,Dry,Daylight,Normal,Driving carelessly,Slight Injury
1:15:00,Saturday,Unknown,Above 10yr,Automobile,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
1:15:00,Saturday,18-30,Below 1yr,Other,Dry,Darkness - lights lit,Normal,Other,Slight Injury
1:15:00,Saturday,18-30,5-10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
1:15:00,Saturday,18-30,5-10yr,Public (13?45 seats),Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
18:30:00,Wednesday,31-50,2-5yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,Slight Injury
18:30:00,Wednesday,18-30,Above 10yr,Pick up upto 10Q,Wet or damp,Darkness - lights lit,Raining,No distancing,Slight Injury
15:52:00,Friday,18-30,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
15:52:00,Friday,31-50,Above 10yr,Public (12 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
15:52:00,Friday,18-30,Below 1yr,Other,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
12:33:00,Tuesday,18-30,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Serious Injury
8:59:00,Monday,Under 18,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
8:59:00,Monday,Over 51,5-10yr,Other,Dry,Daylight,Normal,Turnover,Slight Injury
17:25:00,Saturday,31-50,1-2yr,Lorry (41?100Q),Wet or damp,Daylight,Normal,Driving to the left,Slight Injury
0:53:00,Sunday,18-30,,Ridden horse,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
0:53:00,Sunday,18-30,1-2yr,Automobile,Dry,Darkness - lights lit,Normal,Driving to the left,Slight Injury
0:53:00,Sunday,18-30,5-10yr,Automobile,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
15:20:00,Wednesday,31-50,1-2yr,Stationwagen,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
18:23:00,Saturday,Under 18,5-10yr,Other,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,Slight Injury
18:23:00,Saturday,18-30,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,Slight Injury
5:24:00,Friday,31-50,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - no lighting,Normal,Moving Backward,Serious Injury
12:15:00,Saturday,18-30,5-10yr,Long lorry,Dry,Daylight,Normal,Driving carelessly,Slight Injury
22:15:00,Friday,31-50,Below 1yr,Stationwagen,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
6:35:00,Friday,31-50,Below 1yr,Public (12 seats),Wet or damp,Darkness - lights lit,Raining,Driving carelessly,Serious Injury
6:35:00,Friday,31-50,,Automobile,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,Serious Injury
17:34:00,Thursday,Under 18,Below 1yr,Public (12 seats),Wet or damp,Darkness - lights lit,Normal,Driving carelessly,Serious Injury
17:34:00,Thursday,Under 18,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,Serious Injury
4:00:00,Friday,18-30,2-5yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,Slight Injury
4:00:00,Friday,18-30,5-10yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Raining,Driving carelessly,Slight Injury
4:00:00,Friday,18-30,5-10yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Raining,Overtaking,Slight Injury
4:00:00,Friday,18-30,5-10yr,Pick up upto 10Q,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,Slight Injury
15:50:00,Saturday,18-30,5-10yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
8:50:00,Friday,Under 18,5-10yr,Automobile,Wet or damp,Daylight,Raining,Other,Slight Injury
0:25:00,Sunday,18-30,2-5yr,Automobile,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
0:25:00,Sunday,31-50,5-10yr,Lorry (11?40Q),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
0:25:00,Sunday,31-50,Below 1yr,Bajaj,Dry,Darkness - lights lit,Normal,Overtaking,Slight Injury
0:10:00,Sunday,18-30,1-2yr,Automobile,Wet or damp,Darkness - lights lit,Raining and Windy,Other,Slight Injury
0:10:00,Sunday,18-30,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Raining and Windy,Driving to the left,Slight Injury
15:20:00,Saturday,Unknown,2-5yr,Lorry (11?40Q),Dry,Daylight,Cloudy,Overtaking,Slight Injury
15:20:00,Saturday,31-50,5-10yr,Lorry (11?40Q),Dry,Daylight,Cloudy,No priority to vehicle,Slight Injury
15:20:00,Saturday,31-50,5-10yr,Automobile,Dry,Daylight,Cloudy,Moving Backward,Slight Injury
16:30:00,Saturday,Under 18,,,Wet or damp,Darkness - lights lit,Raining,Other,Slight Injury
16:30:00,Saturday,Under 18,Above 10yr,Automobile,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,Slight Injury
1:05:00,Friday,Under 18,Above 10yr,Public (13?45 seats),Dry,Darkness - lights lit,Normal,No priority to pedestrian,Slight Injury
1:05:00,Friday,31-50,Above 10yr,Public (12 seats),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
19:40:00,Monday,Over 51,unknown,Other,Wet or damp,Darkness - no lighting,Normal,Changing lane to the right,Slight Injury
19:40:00,Monday,31-50,5-10yr,Automobile,Wet or damp,Darkness - no lighting,Normal,Changing lane to the right,Slight Injury
19:40:00,Monday,31-50,2-5yr,Automobile,Wet or damp,Darkness - no lighting,Normal,Driving to the left,Slight Injury
19:08:00,Tuesday,18-30,5-10yr,Public (13?45 seats),Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
19:08:00,Tuesday,18-30,2-5yr,Public (13?45 seats),Wet or damp,Darkness - lights lit,Normal,Moving Backward,Slight Injury
17:50:00,Saturday,Over 51,5-10yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Driving at high speed,Slight Injury
17:50:00,Saturday,18-30,Above 10yr,Other,Wet or damp,Darkness - lights lit,Raining,Moving Backward,Slight Injury
21:30:00,Sunday,31-50,2-5yr,Pick up upto 10Q,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
21:30:00,Sunday,31-50,2-5yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Other,Slight Injury
14:49:00,Monday,Over 51,Above 10yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
14:49:00,Monday,Over 51,1-2yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
14:49:00,Monday,18-30,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Other,Slight Injury
17:40:00,Sunday,31-50,,,Wet or damp,Darkness - lights lit,Normal,No distancing,Slight Injury
17:40:00,Sunday,Over 51,5-10yr,Other,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
21:55:00,Saturday,18-30,5-10yr,Automobile,Wet or damp,Darkness - lights lit,Raining,No distancing,Slight Injury
21:55:00,Saturday,18-30,5-10yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Moving Backward,Slight Injury
7:30:00,Tuesday,18-30,Above 10yr,Automobile,Wet or damp,Daylight,Normal,No distancing,Slight Injury
7:30:00,Tuesday,31-50,1-2yr,Automobile,Wet or damp,Daylight,Normal,Moving Backward,Slight Injury
10:41:00,Wednesday,31-50,2-5yr,Lorry (41?100Q),Wet or damp,Daylight,Other,No priority to pedestrian,Slight Injury
13:16:00,Wednesday,31-50,Below 1yr,Other,Wet or damp,Daylight,Raining,Changing lane to the left,Slight Injury
13:16:00,Wednesday,31-50,Above 10yr,Pick up upto 10Q,Wet or damp,Daylight,Raining,No distancing,Slight Injury
13:16:00,Wednesday,31-50,1-2yr,Stationwagen,Wet or damp,Daylight,Raining,Other,Slight Injury
11:30:00,Thursday,18-30,5-10yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
11:30:00,Thursday,18-30,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
16:20:00,Friday,Unknown,Below 1yr,Stationwagen,Wet or damp,Darkness - lights lit,Normal,Moving Backward,Slight Injury
16:20:00,Friday,31-50,,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Normal,No priority to pedestrian,Slight Injury
16:20:00,Friday,Over 51,Above 10yr,Automobile,Wet or damp,Darkness - lights lit,Normal,No distancing,Slight Injury
1:10:00,Friday,31-50,,,Wet or damp,Darkness - lights lit,Normal,No priority to pedestrian,Serious Injury
20:40:00,Monday,18-30,1-2yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,Serious Injury
20:40:00,Monday,18-30,2-5yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Getting off the vehicle improperly,Serious Injury
17:50:00,Wednesday,18-30,unknown,Turbo,Wet or damp,Darkness - no lighting,Windy,Driving carelessly,Slight Injury
17:50:00,Wednesday,18-30,Above 10yr,,Wet or damp,Darkness - no lighting,Windy,Changing lane to the left,Slight Injury
17:50:00,Wednesday,18-30,2-5yr,Stationwagen,Wet or damp,Darkness - no lighting,Windy,No priority to vehicle,Slight Injury
17:11:00,Wednesday,Over 51,5-10yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,Slight Injury
21:03:00,Monday,18-30,2-5yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,Serious Injury
15:20:00,Monday,18-30,1-2yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
18:30:00,Monday,Unknown,5-10yr,Pick up upto 10Q,Wet or damp,Darkness - lights lit,Raining,No distancing,Slight Injury
8:15:00,Wednesday,Over 51,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
15:20:00,Tuesday,Unknown,5-10yr,Lorry (41?100Q),Wet or damp,Darkness - no lighting,Normal,Changing lane to the right,Slight Injury
18:17:00,Friday,18-30,5-10yr,Automobile,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,Slight Injury
18:17:00,Friday,18-30,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,Slight Injury
19:31:00,Wednesday,18-30,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - no lighting,Raining,No priority to vehicle,Slight Injury
19:31:00,Wednesday,18-30,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - no lighting,Raining,Moving Backward,Slight Injury
9:25:00,Friday,31-50,5-10yr,Lorry (41?100Q),Wet or damp,Daylight,Normal,Turnover,Serious Injury
9:25:00,Friday,18-30,1-2yr,Automobile,Wet or damp,Daylight,Normal,No distancing,Serious Injury
14:10:00,Wednesday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
14:10:00,Wednesday,Over 51,2-5yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
14:00:00,Friday,31-50,,Public (13?45 seats),Wet or damp,Daylight,Normal,Changing lane to the left,Slight Injury
14:00:00,Friday,31-50,1-2yr,Automobile,Wet or damp,Daylight,Normal,No priority to vehicle,Slight Injury
22:05:00,Tuesday,Unknown,Below 1yr,Public (13?45 seats),Wet or damp,Darkness - lights lit,Normal,Driving at high speed,Slight Injury
22:05:00,Tuesday,Over 51,1-2yr,Public (13?45 seats),Wet or damp,Darkness - lights lit,Normal,Overtaking,Slight Injury
7:00:00,Thursday,18-30,1-2yr,Automobile,Wet or damp,Darkness - lights lit,Windy,Other,Slight Injury
7:00:00,Thursday,31-50,Above 10yr,Lorry (11?40Q),Wet or damp,Darkness - lights lit,Windy,Changing lane to the left,Slight Injury
7:35:00,Thursday,18-30,1-2yr,Automobile,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,Slight Injury
7:35:00,Thursday,31-50,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,Slight Injury
8:43:00,Wednesday,31-50,2-5yr,Other,Wet or damp,Daylight,Raining,No distancing,Slight Injury
8:43:00,Wednesday,31-50,Above 10yr,Pick up upto 10Q,Wet or damp,Daylight,Raining,Moving Backward,Slight Injury
16:05:00,Tuesday,Over 51,5-10yr,Lorry (11?40Q),Wet or damp,Daylight,Normal,Changing lane to the left,Serious Injury
22:05:00,Friday,18-30,1-2yr,Motorcycle,Wet or damp,Darkness - lights lit,Raining,Other,Serious Injury
22:05:00,Friday,18-30,5-10yr,Pick up upto 10Q,Wet or damp,Darkness - lights lit,Raining,No distancing,Serious Injury
22:05:00,Friday,18-30,2-5yr,Lorry (11?40Q),Wet or damp,Darkness - lights lit,Raining,Moving Backward,Serious Injury
22:05:00,Friday,18-30,1-2yr,Lorry (11?40Q),Wet or damp,Darkness - lights lit,Raining,No distancing,Serious Injury
3:40:00,Saturday,18-30,Above 10yr,Automobile,Wet or damp,Darkness - lights lit,Windy,Changing lane to the left,Slight Injury
9:25:00,Tuesday,Over 51,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
9:25:00,Tuesday,Unknown,5-10yr,Other,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
9:25:00,Tuesday,Unknown,1-2yr,Other,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
9:25:00,Tuesday,Unknown,,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
9:25:00,Tuesday,Unknown,,Taxi,Dry,Daylight,Normal,Driving carelessly,Slight Injury
9:25:00,Tuesday,Unknown,5-10yr,Other,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
7:58:00,Thursday,Under 18,2-5yr,Taxi,Wet or damp,Daylight,Raining,Getting off the vehicle improperly,Slight Injury
7:58:00,Thursday,18-30,5-10yr,Lorry (11?40Q),Wet or damp,Daylight,Raining,No distancing,Slight Injury
20:15:00,Tuesday,18-30,2-5yr,Automobile,Wet or damp,Darkness - no lighting,Raining,Changing lane to the left,Slight Injury
20:15:00,Tuesday,18-30,1-2yr,Other,Wet or damp,Darkness - no lighting,Raining,No priority to vehicle,Slight Injury
17:10:00,Tuesday,18-30,1-2yr,Automobile,Wet or damp,Darkness - lights lit,Normal,No distancing,Slight Injury
